index,Date,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Home_Value,Mortgage_Rate,MEDIAN_HH_INCOME,Affordable_Home_Price,ZHVI_Affordable_Difference
0,2010-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,199681.0368780256,5.03,45261.0,166283.7241798834,33397.312698142196
1,2010-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,199462.53342963025,4.99,45324.083333333336,167001.71383339178,32460.819596238463
2,2010-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,198157.55251990925,4.97,45387.16666666666,167478.2725828881,30679.279937021143
3,2010-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196863.08597662463,5.1,45450.25,166130.02562169143,30733.0603549332
4,2010-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196489.6866866813,4.89,45513.333333333336,168927.50071398276,27562.185972698528
5,2010-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196899.61948779857,4.74,45576.41666666666,171027.96890734264,25871.650580455927
6,2010-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,197041.2044097336,4.56,45639.5,173540.94694990147,23500.257459832123
7,2010-08-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,197161.1495210573,4.43,45702.583333333336,175449.9491101376,21711.2004109197
8,2010-09-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196700.2055355172,4.35,45765.66666666666,176730.2878987753,19969.917636741884
9,2010-10-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196658.97835828,4.23,45828.75,178547.03487114774,18111.94348713226
10,2010-11-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196503.84645145343,4.3,45891.833333333336,177871.86633841723,18631.980113036203
11,2010-12-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196735.38206150103,4.71,45954.91666666666,172827.7436060686,23907.638455432432
12,2011-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196660.8245770035,4.76,46018.0,172432.30130639442,24228.52327060909
13,2011-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,196795.33942609807,4.95,46214.0,170778.30321807376,26017.036208024307
14,2011-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,195927.00677137024,4.84,46410.0,172886.19589368804,23040.810877682205
15,2011-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,191893.1682760552,4.84,46606.0,173616.3336742346,18276.834601820592
16,2011-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,187413.9811396544,4.64,46802.0,176919.18671948856,10494.794420165854
17,2011-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,183624.27207795865,4.51,46998.0,179364.3750512106,4259.897026748047
18,2011-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,183149.3663807957,4.55,47194.0,179583.70192566648,3565.664455129212
19,2011-08-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,181464.8727851317,4.27,47390.0,184085.46217998985,-2620.589394858136
20,2011-09-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,179128.22219659502,4.11,47586.0,187043.83699843351,-7915.614801838499
21,2011-10-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,176303.37492712584,4.07,47782.0,188370.55295693176,-12067.178029805917
22,2011-11-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,174729.65967774377,3.99,47978.0,190266.20446644162,-15536.54478869785
23,2011-12-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,174535.2659560777,3.96,48174.0,191468.30851577118,-16933.04255969348
24,2012-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,174333.574312957,3.92,48370.0,192817.75608740008,-18484.181774443074
25,2012-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,174231.31142391646,3.89,48358.333333333336,193200.25382588213,-18968.942401965673
26,2012-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,173116.42946315292,3.95,48346.66666666666,192296.93448089086,-19180.505017737945
27,2012-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,171878.21644174738,3.91,48335.0,192821.04636506015,-20942.829923312762
28,2012-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,170519.56400155704,3.8,48323.333333333336,194353.0641031469,-23833.50010158986
29,2012-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,169251.3936655223,3.68,48311.66666666666,196044.55145913747,-26793.15779361516
30,2012-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,168116.12531247167,3.55,48300.0,197899.76262652452,-29783.637314052845
31,2012-08-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,167436.6569881446,3.6,48288.333333333336,197117.95884477173,-29681.301856627135
32,2012-09-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,166837.20326084565,3.5,48276.66666666666,198541.0157866241,-31703.812525778456
33,2012-10-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,167389.6466485523,3.38,48265.0,200273.4261816624,-32883.77953311009
34,2012-11-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,167973.40292504427,3.35,48253.333333333336,200672.72993816267,-32699.327013118396
35,2012-12-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,169576.6733830345,3.35,48241.66666666666,200624.21138643683,-31047.538003402326
36,2013-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,170257.08657167337,3.41,48230.0,199681.78640339238,-29424.699831719015
37,2013-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,171239.76447714123,3.53,48251.91666666666,197996.97863841546,-26757.214161274227
38,2013-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,171447.05962571883,3.57,48273.833333333336,197498.67333120882,-26051.61370548999
39,2013-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,172169.57954000667,3.45,48295.75,199359.67778072297,-27190.098240716296
40,2013-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,172722.31659290544,3.54,48317.66666666666,198119.40210479064,-25397.085511885205
41,2013-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,173013.1454528698,4.07,48339.583333333336,190568.70876496765,-17555.56331209786
42,2013-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,172626.26420159583,4.37,48361.5,186479.46084469385,-13853.196643098025
